ID,ParallelSessions_WhichDaysAtTheConferenceWillYouBeAttending,ParallelSessions_FirstChoice,ParallelSessions_SecondChoice,ParallelSessions_ThirdChoice,ParallelSessions_FourthChoice,ParallelSessions_FifthChoice,ParallelSessions_FirstChoice2,ParallelSessions_SecondChoice2,ParallelSessions_ThirdChoice2,ParallelSessions_FourthChoice2,ParallelSessions_FifthChoice2,ParallelSessions_FirstChoice3,ParallelSessions_SecondChoice3,ParallelSessions_ThirdChoice3,ParallelSessions_FourthChoice3,ParallelSessions_FifthChoice3,ParallelSessions_FirstChoice4,ParallelSessions_SecondChoice4,ParallelSessions_ThirdChoice4,ParallelSessions_FourthChoice4,ParallelSessions_FifthChoice4,ParallelSessions_FirstChoice5,ParallelSessions_SecondChoice5,ParallelSessions_ThirdChoice5,ParallelSessions_FourthChoice5,ParallelSessions_FifthChoice5,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
1,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,Session 1.5,Session 1.4,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.1,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 4.2,Session 4.1,Session 4.3,Session 4.4,Session 4.5,Session 5.3,Session 5.2,Session 5.5,Session 5.4,,08/08/2019 10:08,08/08/2019 10:08,08/08/2019 10:08
2,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.4,Session 1.3,Session 1.5,Session 2.5,Session 2.4,Session 2.2,Session 2.3,Session 2.1,Session 3.5,Session 3.1,Session 3.3,Session 3.4,Session 3.2,Session 4.3,No preference,No preference,No preference,No preference,Session 5.1,Session 5.4,No preference,No preference,No preference,08/08/2019 09:45,08/08/2019 09:45,08/08/2019 09:45
3,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,No preference,No preference,No preference,No preference,Session 2.5,No preference,No preference,No preference,No preference,Session 3.2,Session 3.3,Session 3.4,Session 3.5,No preference,Session 4.1,Session 4.5,No preference,No preference,No preference,Session 5.2,Session 5.4,No preference,No preference,No preference,08/08/2019 09:37,08/08/2019 09:37,08/08/2019 09:37
4,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,No preference,No preference,No preference,Session 2.2,Session 2.1,No preference,No preference,No preference,Session 3.2,Session 3.5,Session 3.1,No preference,No preference,Session 4.2,No preference,No preference,No preference,No preference,Session 5.3,Session 5.5,No preference,No preference,No preference,08/08/2019 09:31,08/08/2019 09:31,08/08/2019 09:31
5,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.4,Session 2.1,Session 2.2,Session 2.5,Session 2.3,Session 3.3,Session 3.5,Session 3.2,Session 3.4,Session 3.1,Session 4.3,Session 4.1,Session 4.5,Session 4.4,Session 4.2,Session 5.2,Session 5.4,Session 5.5,Session 5.1,Session 5.3,08/08/2019 09:30,08/08/2019 09:30,08/08/2019 09:30
6,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.2,Session 1.5,Session 1.4,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.2,Session 3.1,Session 3.5,Session 3.4,Session 3.4,Session 4.1,No preference,No preference,No preference,No preference,Session 5.3,Session 5.5,Session 5.4,Session 5.2,Session 5.1,08/08/2019 08:53,08/08/2019 08:53,08/08/2019 08:53
7,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,Session 1.4,Session 1.5,Session 2.5,Session 2.3,Session 2.2,Session 2.4,Session 2.1,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 3.1,Session 4.3,Session 4.1,Session 4.2,Session 4.4,Session 4.5,Session 5.2,Session 5.4,Session 5.5,Session 5.3,Session 5.1,08/08/2019 08:46,08/08/2019 08:46,08/08/2019 08:46
8,"Wednesday 2nd October, Tuesday 1st October",Session 1.4,Session 1.2,No preference,No preference,No preference,Session 2.4,Session 2.5,No preference,No preference,No preference,Session 3.5,Session 3.1,No preference,No preference,No preference,Session 4.3,Session 4.4,Session 4.2,No preference,No preference,Session 5.5,Session 5.3,No preference,No preference,No preference,08/08/2019 08:05,08/08/2019 08:05,08/08/2019 08:05
9,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.1,Session 1.2,No preference,Session 2.2,Session 2.5,No preference,No preference,No preference,Session 3.1,Session 3.5,Session 3.3,No preference,No preference,Session 4.1,Session 4.3,Session 4.2,Session 4.4,Session 4.1,Session 5.4,Session 5.2,No preference,No preference,No preference,07/08/2019 17:48,07/08/2019 17:48,07/08/2019 17:48
10,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,No preference,No preference,Session 2.5,Session 2.1,No preference,No preference,No preference,Session 3.1,Session 3.4,Session 3.5,No preference,No preference,Session 4.2,Session 4.3,No preference,No preference,No preference,Session 5.2,Session 5.3,Session 5.5,No preference,No preference,07/08/2019 16:59,07/08/2019 16:59,07/08/2019 16:59
11,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,No preference,No preference,Session 2.5,Session 2.1,No preference,No preference,No preference,Session 3.1,Session 3.4,Session 3.5,No preference,No preference,Session 4.2,Session 4.3,No preference,No preference,No preference,Session 5.2,Session 5.3,Session 5.5,No preference,No preference,07/08/2019 16:59,07/08/2019 16:59,07/08/2019 16:59
